ردیف,زمان,سطح,بخش,رویداد,"شناسه مرتبط",پیام,جزئیات
3452,"1405-06-23 12:00:01",موفق,سفارش,status_sent,317899,"پیام تغییر وضعیت سفارش #317899 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3451,"1405-06-23 11:59:59",موفق,سفارش,status_sent,317897,"پیام تغییر وضعیت سفارش #317897 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3450,"1405-06-23 11:59:58",موفق,سفارش,status_sent,317578,"پیام تغییر وضعیت سفارش #317578 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3449,"1405-06-23 11:59:57",موفق,سفارش,status_sent,317577,"پیام تغییر وضعیت سفارش #317577 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3448,"1405-06-23 11:59:56",موفق,سفارش,status_sent,317569,"پیام تغییر وضعیت سفارش #317569 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3447,"1405-06-23 11:59:55",موفق,سفارش,status_sent,317562,"پیام تغییر وضعیت سفارش #317562 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3446,"1405-06-23 11:59:45",هشدار,تلگرام,rate_limited,0,"محدودیت نرخ تلگرام (429) هنگام sendMessage؛ 10 ثانیه صبر و تلاش مجدد.","{""method"":""sendMessage"",""retry_after"":10}"
3445,"1405-06-23 11:59:44",خطا,سفارش,status_failed,317561,"ارسال پیام تغییر وضعیت سفارش #317561 ناموفق بود: -1003853185157: Too Many Requests: retry after 10","{""old"":""processing"",""new"":""pws-in-stock"",""error"":""-1003853185157: Too Many Requests: retry after 10""}"
3444,"1405-06-23 11:59:44",خطا,تلگرام,api_error,0,"تلگرام خطا داد (sendMessage): Too Many Requests: retry after 10","{""method"":""sendMessage"",""code"":429,""description"":""Too Many Requests: retry after 10""}"
3443,"1405-06-23 11:59:43",هشدار,سفارش,order_send_failed,317017,"ارسال سفارش #317017 ناموفق بود (تلاش 1 از ۵): -1003853185157: Too Many Requests: retry after 11","{""attempt"":1,""error"":""-1003853185157: Too Many Requests: retry after 11""}"
3442,"1405-06-23 11:59:43",خطا,تلگرام,api_error,0,"تلگرام خطا داد (sendMessage): Too Many Requests: retry after 11","{""method"":""sendMessage"",""code"":429,""description"":""Too Many Requests: retry after 11""}"
3441,"1405-06-23 11:59:42",هشدار,سفارش,order_send_failed,317015,"ارسال سفارش #317015 ناموفق بود (تلاش 2 از ۵): -1003853185157: Too Many Requests: retry after 12","{""attempt"":2,""error"":""-1003853185157: Too Many Requests: retry after 12""}"
3440,"1405-06-23 11:59:42",خطا,تلگرام,api_error,0,"تلگرام خطا داد (sendMessage): Too Many Requests: retry after 12","{""method"":""sendMessage"",""code"":429,""description"":""Too Many Requests: retry after 12""}"
3439,"1405-06-23 11:59:41",هشدار,سفارش,order_send_failed,317015,"ارسال سفارش #317015 ناموفق بود (تلاش 2 از ۵): -1003853185157: Too Many Requests: retry after 13","{""attempt"":2,""error"":""-1003853185157: Too Many Requests: retry after 13""}"
3438,"1405-06-23 11:59:41",خطا,تلگرام,api_error,0,"تلگرام خطا داد (sendMessage): Too Many Requests: retry after 13","{""method"":""sendMessage"",""code"":429,""description"":""Too Many Requests: retry after 13""}"
3437,"1405-06-23 11:59:33",هشدار,تلگرام,rate_limited,0,"محدودیت نرخ تلگرام (429) هنگام sendMessage؛ 21 ثانیه صبر و تلاش مجدد.","{""method"":""sendMessage"",""retry_after"":21}"
3436,"1405-06-23 11:59:32",خطا,سفارش,status_failed,317559,"ارسال پیام تغییر وضعیت سفارش #317559 ناموفق بود: -1003853185157: Too Many Requests: retry after 22","{""old"":""processing"",""new"":""pws-in-stock"",""error"":""-1003853185157: Too Many Requests: retry after 22""}"
3435,"1405-06-23 11:59:32",خطا,تلگرام,api_error,0,"تلگرام خطا داد (sendMessage): Too Many Requests: retry after 22","{""method"":""sendMessage"",""code"":429,""description"":""Too Many Requests: retry after 22""}"
3434,"1405-06-23 11:59:32",هشدار,تلگرام,rate_limited,0,"محدودیت نرخ تلگرام (429) هنگام sendMessage؛ 22 ثانیه صبر و تلاش مجدد.","{""method"":""sendMessage"",""retry_after"":22}"
3433,"1405-06-23 11:59:31",هشدار,تلگرام,rate_limited,0,"محدودیت نرخ تلگرام (429) هنگام sendMessage؛ 24 ثانیه صبر و تلاش مجدد.","{""method"":""sendMessage"",""retry_after"":24}"
3432,"1405-06-23 11:59:31",هشدار,تلگرام,rate_limited,0,"محدودیت نرخ تلگرام (429) هنگام sendMessage؛ 24 ثانیه صبر و تلاش مجدد.","{""method"":""sendMessage"",""retry_after"":24}"
3431,"1405-06-23 11:59:22",هشدار,تلگرام,rate_limited,0,"محدودیت نرخ تلگرام (429) هنگام sendMessage؛ 33 ثانیه صبر و تلاش مجدد.","{""method"":""sendMessage"",""retry_after"":33}"
3430,"1405-06-23 11:59:21",موفق,سفارش,status_sent,317475,"پیام تغییر وضعیت سفارش #317475 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3429,"1405-06-23 11:59:20",موفق,سفارش,status_sent,317474,"پیام تغییر وضعیت سفارش #317474 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3428,"1405-06-23 11:59:19",موفق,سفارش,status_sent,317472,"پیام تغییر وضعیت سفارش #317472 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3427,"1405-06-23 11:59:18",موفق,سفارش,status_sent,317468,"پیام تغییر وضعیت سفارش #317468 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3426,"1405-06-23 11:59:18",موفق,سفارش,status_sent,317465,"پیام تغییر وضعیت سفارش #317465 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3425,"1405-06-23 11:59:14",موفق,سفارش,status_sent,317052,"پیام تغییر وضعیت سفارش #317052 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3424,"1405-06-23 11:59:13",موفق,سفارش,status_sent,317048,"پیام تغییر وضعیت سفارش #317048 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3423,"1405-06-23 11:59:12",موفق,سفارش,status_sent,317046,"پیام تغییر وضعیت سفارش #317046 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3422,"1405-06-23 11:59:11",موفق,سفارش,status_sent,317044,"پیام تغییر وضعیت سفارش #317044 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
